Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Capture,Subunit,Capture,Logitech PRO X Wireless Gaming Headset,,,,,Yes,,16.4%,-64.00 dB,3.00 dB,1.00 dB,1,-12.69 dB,16.4%,{2}.\\?\usb#vid_046d&pid_0aba&mi_00#8&30996b33&1&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020002,Logitech PRO X Wireless Gaming Headset\Subunit\Capture,,,,
Headphone,Device,Render,Realtek(R) Audio,,,,Active,No,0.00 dB,100.0%,-65.25 dB,0.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{c35820e6-a66a-46b7-a329-35a1e0ed1b4b},Realtek(R) Audio\Device\Headphone\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{c35820e6-a66a-46b7-a329-35a1e0ed1b4b}
Headset Microphone,Device,Capture,Realtek(R) Audio,,,,Active,Yes,7.74 dB,70.0%,-17.25 dB,30.00 dB,0.03 dB,2,"7.74 dB, 7.74 dB","70.0%, 70.0%",{0.0.1.00000000}.{8599ac78-4369-44ce-806c-b71310a2dc07},Realtek(R) Audio\Device\Headset Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{8599ac78-4369-44ce-806c-b71310a2dc07}
LGHUB,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,Yes,,36.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{708a59bb-6adb-4ea6-aff4-6bae2e2bc8de}|\Device\HarddiskVolume3\Program Files\LGHUB\lghub.exe%b{00000000-0000-0000-0000-000000000000}|1%b46008,Logitech PRO X Wireless Gaming Headset\Application\LGHUB,C:\Program Files\LGHUB\lghub.exe,46008,,
LGHUB,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{61cd02f2-3dbe-47a3-a605-03f5a47ddf45}|\Device\HarddiskVolume3\Program Files\LGHUB\lghub.exe%b{00000000-0000-0000-0000-000000000000}|1%b46008,Logitech PRO X Wireless Gaming Headset\Application\LGHUB,C:\Program Files\LGHUB\lghub.exe,46008,,
LGHUB Agent,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,Yes,,36.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{708a59bb-6adb-4ea6-aff4-6bae2e2bc8de}|\Device\HarddiskVolume3\Program Files\LGHUB\lghub_agent.exe%b{00000000-0000-0000-0000-000000000000}|1%b67536,Logitech PRO X Wireless Gaming Headset\Application\LGHUB Agent,C:\Program Files\LGHUB\lghub_agent.exe,67536,,
Mic Volume,Subunit,Capture,Intel® Smart Sound Technology for Digital Microphones,,,,,No,,56.0%,-95.76 dB,30.24 dB,1.26 dB,2,"25.20 dB, 25.20 dB","56.0%, 56.0%",{2}.\\?\intelaudio#ctlr_dev_a0c8&linktype_02&devtype_00&ven_8086&dev_ae20&subsys_87c9103c&rev_10ec#5&21befa87&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\intcdmictopo_2 _48_16_0/00020000,Intel® Smart Sound Technology for Digital Microphones\Subunit\Mic Volume,,,,
Microphone,Device,Capture,Logitech PRO X Wireless Gaming Headset,Capture,Capture,Capture,Active,Yes,-12.69 dB,36.0%,-64.00 dB,3.00 dB,1.00 dB,1,-12.69 dB,36.0%,{0.0.1.00000000}.{708a59bb-6adb-4ea6-aff4-6bae2e2bc8de},Logitech PRO X Wireless Gaming Headset\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{708a59bb-6adb-4ea6-aff4-6bae2e2bc8de}
Microphone,Subunit,Capture,Realtek(R) Audio,,,,,No,,7.3%,-17.25 dB,30.00 dB,0.03 dB,2,"7.75 dB, 7.75 dB","7.3%, 7.3%",{2}.\\?\intelaudio#func_01&ven_10ec&dev_0287&subsys_103c87c9&rev_1000#5&21befa87&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rtmicintopo/00020000,Realtek(R) Audio\Subunit\Microphone,,,,
Microphone Array,Device,Capture,Intel® Smart Sound Technology for Digital Microphones,,,,Active,Yes,25.20 dB,97.1%,-95.76 dB,30.24 dB,1.26 dB,2,"25.20 dB, 25.20 dB","97.1%, 97.1%",{0.0.1.00000000}.{f2d90407-638c-48df-a64d-e645452a346b},Intel® Smart Sound Technology for Digital Microphones\Device\Microphone Array\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{f2d90407-638c-48df-a64d-e645452a346b}
Microphone Boost,Subunit,Capture,Realtek(R) Audio,,,,,Yes,,7.1%,0.00 dB,30.00 dB,10.00 dB,1,10.00 dB,7.1%,{2}.\\?\intelaudio#func_01&ven_10ec&dev_0287&subsys_103c87c9&rev_1000#5&21befa87&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rtmicintopo/00020001,Realtek(R) Audio\Subunit\Microphone Boost,,,,
Speaker,Device,Render,Realtek(R) Audio,,,,Active,No,-6.00 dB,66.9%,-65.25 dB,0.00 dB,0.03 dB,2,"-6.00 dB, -6.00 dB","66.9%, 66.9%",{0.0.0.00000000}.{7d2d162b-8654-4793-8934-b848d6217a9f},Realtek(R) Audio\Device\Speaker\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{7d2d162b-8654-4793-8934-b848d6217a9f}
Speakers,Subunit,Render,Realtek(R) Audio,,,,,No,,50.1%,-65.25 dB,0.00 dB,0.03 dB,2,"-6.00 dB, -6.00 dB","50.1%, 50.1%",{2}.\\?\intelaudio#func_01&ven_10ec&dev_0287&subsys_103c87c9&rev_1000#5&21befa87&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rearlineouttoposst/00020000,Realtek(R) Audio\Subunit\Speakers,,,,
